"","generatedTags.v","Freq"
"1","Digital libraries",3
"2","Subject headings",3
"3","Emigration & immigration in art -- Exhibitions",2
"4","Information behaviour & retrieval",2
"5","sports",2
"6","annotation",1
"7","Anthropology of Art",1
"8","Argentine art -- 20th century",1
"9","Art exhibitions",1
"10","Artists and Art Practice",1
"11","Authority control",1
"12","Caribbean and the United States",1
"13","Cataloging",1
"14","Cataloguing",1
"15","categorization",1
"16","Central American art -- 21st century -- Exhibitions",1
"17","Children’s authors",1
"18","Controlled vocabulary",1
"19","creative education",1
"20","creative writing",1
"21","Data processing",1
"22","device adaption",1
"23","Digital preservation",1
"24","Folksonomies",1
"25","Information resources management",1
"26","LCSH",1
"27","Linked data (Semantic Web)",1
"28","live video",1
"29","metadata",1
"30","Metadata",1
"31","Migration and Diaspora Studies",1
"32","Pragmatics",1
"33","Reading",1
"34","Semantic Web",1
"35","summarizing",1
"36","Systems portability",1
"37","Tagging",1
"38","Taxonomy",1
"39","text",1
"40","user comments",1
"41","video",1
"42","videos",1
"43","Vocabulary Development",1
